Match(start=192926, end=192937, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=194775, end=194786, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=197633, end=197644, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=199903, end=199914, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=201687, end=201698, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=203964, end=203975, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=205656, end=205667, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=207854, end=207865, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=209805, end=209816, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=211568, end=211579, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=213406, end=213417, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=215069, end=215080, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=216939, end=216950, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=218918, end=218929, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=220929, end=220940, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=222990, end=223001, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=224663, end=224674, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=226753, end=226764, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=228237, end=228248, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=232940, end=232951, dist=5, matched=bytearray(b'alth Depart')) FIlename=processed/811.txt
Match(start=244057, end=244068, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=245606, end=245617, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=245988, end=246000, dist=5, matched=bytearray(b'tests report')) FIlename=processed/811.txt
Match(start=246550, end=246562, dist=4, matched=bytearray(b'al of report')) FIlename=processed/811.txt
Match(start=246762, end=246773, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=247369, end=247381, dist=5, matched=bytearray(b'tests report')) FIlename=processed/811.txt
Match(start=248305, end=248314, dist=5, matched=bytearray(b't) report')) FIlename=processed/811.txt
Match(start=248401, end=248409, dist=5, matched=bytearray(b't report')) FIlename=processed/811.txt
Match(start=248463, end=248473, dist=4, matched=bytearray(b' to report')) FIlename=processed/811.txt
Match(start=248559, end=248570, dist=4, matched=bytearray(b' the report')) FIlename=processed/811.txt
Match(start=248693, end=248704, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=249176, end=249188, dist=5, matched=bytearray(b'tests report')) FIlename=processed/811.txt
Match(start=250209, end=250220, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=250669, end=250681, dist=5, matched=bytearray(b'ases  report')) FIlename=processed/811.txt
Match(start=251479, end=251490, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=252085, end=252095, dist=5, matched=bytearray(b'ts) report')) FIlename=processed/811.txt
Match(start=253389, end=253399, dist=5, matched=bytearray(b'ts) report')) FIlename=processed/811.txt
Match(start=254589, end=254599, dist=5, matched=bytearray(b'ts) report')) FIlename=processed/811.txt
